SYMBOL,COUNT
SALZERELEC,1
SAMBHAAV,1
SANCO,1
SANDESH,1
SANDHAR,1
SANGAMIND,1
SANGHIIND,1
SANGHVIMOV,1
SANGINITA,1
SANOFI,1
SANWARIA,1
SARDAEN,1
SAREGAMA,1
SARLAPOLY,1
SASKEN,1
SASTASUNDR,1
SATIA,1
SATIN,1
SBIETFQLTY,1
SBILIFE,1
SBIN,1
SCAPDVR,1
SCHAEFFLER,1
SCHAND,1
SCHNEIDER,1
SCI,2
SEAMECLTD,1
SELAN,1
SELMCL,1
SEPOWER,1
SEQUENT,1
SESHAPAPER,1
SETCO,1
SETF10GILT,1
SETFGOLD,1
SETFNIF50,1
SETFNIFBK,1
SETFNN50,1
SETUINFRA,1
SEYAIND,1
SFL,1
SHAHALLOYS,1
SHAKTIPUMP,1
SHALBY,1
SHALPAINTS,1
SHANKARA,1
SHANTIGEAR,1
SHARDACROP,1
SHARDAMOTR,1
SHEMAROO,1
SHILPAMED,1
SHIRPUR-G,1
SHIVAMAUTO,1
SHIVAMILLS,1
SHIVATEX,1
SHK,2
SHOPERSTOP,1
SHREECEM,1
SHREEPUSHK,1
SHREYANIND,1
SHREYAS,1
SHRIRAMCIT,1
SHRIRAMEPC,1
SHYAMCENT,1
SICAGEN,1
SICAL,1
SIEMENS,1
SIGIND,1
SILINV,1
SIMBHALS,2
SIMPLEXINF,1
SINTEX,2
SIRCA,1
SIS,2
SITINET,1
SIYSIL,1
SJVN,1
SKFINDIA,1
SKIL,2
SKIPPER,1
SKMEGGPROD,1
SMLISUZU,1
SMSLIFE,1
SMSPHARMA,1
SNOWMAN,1
SOBHA,1
SOLARA,1
SOLARINDS,1
SOMANYCERA,1
SOMICONVEY,1
SONATSOFTW,1
SORILINFRA,1
SOTL,1
SOUTHBANK,1
SPAL,1
SPARC,1
SPECIALITY,2
SPENCERS,1
SPIC,2
SPLIL,1
SPMLINFRA,1
SPTL,1
SREEL,1
SREINFRA,1
SRF,2
SRHHYPOLTD,1
SRIPIPES,1
SRTRANSFIN,1
SSWL,1
STAMPEDE,2
STAR,2
STARCEMENT,1
STARPAPER,1
STCINDIA,1
STEELCITY,1
STEELXIND,1
STEL,2
STERTOOLS,1
STRTECH,1
SUBEX,1
SUBROS,1
SUDARSCHEM,1
SUMEETINDS,1
SUMIT,2
SUMMITSEC,1
SUNCLAYLTD,1
SUNDARAM,2
SUNDARMFIN,1
SUNDARMHLD,1
SUNDRMBRAK,1
SUNDRMFAST,1
SUNFLAG,1
SUNPHARMA,1
SUNTECK,1
SUNTV,1
SUPERHOUSE,1
SUPERSPIN,1
SUPPETRO,1
SUPRAJIT,1
SUPREMEIND,1
SUPREMEINF,1
SURANASOL,1
SURANAT&P,1
SURYALAXMI,1
SURYAROSNI,1
SUTLEJTEX,1
SUVEN,2
SUZLON,2
SWANENERGY,1
SWARAJENG,1
SWELECTES,1
SYMPHONY,2
SYNDIBANK,1
SYNGENE,1
TAINWALCHM,1
TAJGVK,1
TAKE,1
TALBROAUTO,1
TALWALKARS,2
TALWGYM,1
TANLA,1
TARAPUR,1
TARMAT,1
TASTYBITE,1
TATACHEM,1
TATACOFFEE,1
TATACOMM,1
TATAELXSI,1
TATAGLOBAL,1
TATAINVEST,1
TATAMETALI,1
TATAMOTORS,1
TATAMTRDVR,1
TATAPOWER,1
TATASPONGE,1
TATASTEEL,1
TATASTLBSL,1
TBZ,1
TCI,2
TCIDEVELOP,1
TCIEXP,1
TCIFINANCE,1
TCNSBRANDS,1
TCPLPACK,1
TCS,2
TDPOWERSYS,1
TEAMLEASE,1
TECHM,1
TECHNOE,2
TECHNOFAB,1
TEJASNET,1
TERASOFT,1
TEXINFRA,1
TEXMOPIPES,1
TEXRAIL,1
TFCILTD,1
TFL,2
TGBHOTELS,1
THANGAMAYL,1
THEINVEST,1
THEMISMED,1
THERMAX,1
THOMASCOOK,1
THYROCARE,1
TI,2
TIDEWATER,1
TIIL,1
TIINDIA,1
TIJARIA,1
TIL,2
TIMESGTY,1
TIMETECHNO,1
TIMKEN,1
TINPLATE,1
TIPSINDLTD,1
TIRUMALCHM,1
TITAN,2
TMRVL,1
TNPETRO,1
TNPL,2
TOKYOPLAST,1
TORNTPHARM,1
TORNTPOWER,1
TPLPLASTEH,1
TREEHOUSE,1
TREJHARA,1
TRENT,1
TRF,2
TRIDENT,1
TRIGYN,1
TRIL,1
TRITURBINE,1
TRIVENI,2
TTKHLTCARE,1
TTKPRESTIG,1
TTL,2
TV18BRDCST,1
TVSELECT,1
TVSMOTOR,1
TVSSRICHAK,1
TVTODAY,1
TWL,1
UBL,2
UCALFUEL,1
UCOBANK,1
UFLEX,1
UFO,1
UGARSUGAR,1
UJAAS,1
UJJIVAN,1
ULTRACEMCO,1
UMANGDAIRY,1
UNICHEMLAB,1
UNIENTER,1
UNIONBANK,1
UNITECH,1
UNITEDBNK,1
UNITEDTEA,1
UNIVCABLES,1
UPL,2
URJA,1
USHAMART,2
UTINEXT50,1
UTINIFTETF,1
UTISENSETF,1
UTISXN50,1
UTTAMSTL,1
UTTAMSUGAR,1
V2RETAIL,1
VADILALIND,1
VAIBHAVGBL,1
VAKRANGEE,1
VARDHACRLC,1
VARROC,1
VASCONEQ,1
VASWANI,1
VBL,1
VEDL,1
VENKEYS,1
VENUSREM,1
VESUVIUS,1
VETO,1
VGUARD,1
VHL,1
VIDHIING,1
VIJIFIN,1
VIKASECO,1
VIKASMCORP,1
VIMTALABS,1
VINATIORGA,1
VINDHYATEL,1
VINYLINDIA,1
VIPCLOTHNG,1
VIPIND,1
VIPULLTD,1
VISAKAIND,1
VISASTEEL,1
VISESHINFO,1
VISHNU,2
VIVIMEDLAB,1
VLSFINANCE,1
VMART,1
VOLTAMP,1
VOLTAS,1
VRLLOG,1
VSSL,1
VSTIND,1
VSTTILLERS,1
VTL,1
WABAG,1
WABCOINDIA,1
WALCHANNAG,1
WEBELSOLAR,1
WEIZFOREX,1
WEIZMANIND,1
WELCORP,1
WELENT,2
WELINV,1
WELSPUNIND,1
WENDT,1
WHEELS,2
WHIRLPOOL,2
WILLAMAGOR,1
WINDMACHIN,1
WIPRO,1
